dept,courseNumber,courseType,numberOfMeetings,meetingLengthHours,isTba,numberEnrolled,cantOverlap,shouldntOverlap,dataNumber,timeMinPweek
ME,ME 195A,SEM,1,1.5,FALSE,9,,,421,50
ME,ME 216C,LEC,2,2,FALSE,52,,,422,50
,,,,,,,,,,50
,,,,,,,,,,50
,,,,,,,,,,50
,,,,,,,,,,50
,,,,,,,,,,50
,,,,,,,,,,50
,,,,,,,,,,50
,,,,,,,,,,50
,,,,,,,,,,50
,,,,,,,,,,150
,,,,,,,,,,150
,,,,,,,,,,160
,,,,,,,,,,110
,,,,,,,,,,220
,,,,,,,,,,170
,,,,,,,,,,160
,,,,,,,,,,240
,,,,,,,,,,50
,,,,,,,,,,50
,,,,,,,,,,50
,,,,,,,,,,50
,,,,,,,,,,50
,,,,,,,,,,50
,,,,,,,,,,50
,,,,,,,,,,50
,,,,,,,,,,50
,,,,,,,,,,50
,,,,,,,,,,80
,,,,,,,,,,80
,,,,,,,,,,80
,,,,,,,,,,50
,,,,,,,,,,50
,,,,,,,,,,50
,,,,,,,,,,50
,,,,,,,,,,50
,,,,,,,,,,80
,,,,,,,,,,80
,,,,,,,,,,80
,,,,,,,,,,50
,,,,,,,,,,50
,,,,,,,,,,50
,,,,,,,,,,50
,,,,,,,,,,50
,,,,,,,,,,50
,,,,,,,,,,50
,,,,,,,,,,50
,,,,,,,,,,50
,,,,,,,,,,50
,,,,,,,,,,50
,,,,,,,,,,50
,,,,,,,,,,50
,,,,,,,,,,50
,,,,,,,,,,50
,,,,,,,,,,150
,,,,,,,,,,150
,,,,,,,,,,50
,,,,,,,,,,50
,,,,,,,,,,50
,,,,,,,,,,50
,,,,,,,,,,50
,,,,,,,,,,50
,,,,,,,,,,50
,,,,,,,,,,50
,,,,,,,,,,50
,,,,,,,,,,50
,,,,,,,,,,100
,,,,,,,,,,150
,,,,,,,,,,50
,,,,,,,,,,50
,,,,,,,,,,150
,,,,,,,,,,50
,,,,,,,,,,50
,,,,,,,,,,50
,,,,,,,,,,160
,,,,,,,,,,160
,,,,,,,,,,160
,,,,,,,,,,50
,,,,,,,,,,160
,,,,,,,,,,160
,,,,,,,,,,160
,,,,,,,,,,50
,,,,,,,,,,50
,,,,,,,,,,50
,,,,,,,,,,80
,,,,,,,,,,50
,,,,,,,,,,50
,,,,,,,,,,50
,,,,,,,,,,160
,,,,,,,,,,80
,,,,,,,,,,160
,,,,,,,,,,160
,,,,,,,,,,160
,,,,,,,,,,80
,,,,,,,,,,160
,,,,,,,,,,110
,,,,,,,,,,110
,,,,,,,,,,110
,,,,,,,,,,110
,,,,,,,,,,80
,,,,,,,,,,80
,,,,,,,,,,80
,,,,,,,,,,80
,,,,,,,,,,80
,,,,,,,,,,80
,,,,,,,,,,80
,,,,,,,,,,80
,,,,,,,,,,80
,,,,,,,,,,100
,,,,,,,,,,160
,,,,,,,,,,160
,,,,,,,,,,160
,,,,,,,,,,240
,,,,,,,,,,195
,,,,,,,,,,160
,,,,,,,,,,80
,,,,,,,,,,150
,,,,,,,,,,160
,,,,,,,,,,150
,,,,,,,,,,150
,,,,,,,,,,150
,,,,,,,,,,150
,,,,,,,,,,150
,,,,,,,,,,160
,,,,,,,,,,220
,,,,,,,,,,160
,,,,,,,,,,220
,,,,,,,,,,220
,,,,,,,,,,220
,,,,,,,,,,160
,,,,,,,,,,80
,,,,,,,,,,230
,,,,,,,,,,230
,,,,,,,,,,230
,,,,,,,,,,230
,,,,,,,,,,220
,,,,,,,,,,170
,,,,,,,,,,160
,,,,,,,,,,80
,,,,,,,,,,220
,,,,,,,,,,220
,,,,,,,,,,160
,,,,,,,,,,100
,,,,,,,,,,330
,,,,,,,,,,220
,,,,,,,,,,160
,,,,,,,,,,160
,,,,,,,,,,160
,,,,,,,,,,150
,,,,,,,,,,160
,,,,,,,,,,80
,,,,,,,,,,160
,,,,,,,,,,160
,,,,,,,,,,80
,,,,,,,,,,160
,,,,,,,,,,160
,,,,,,,,,,50
,,,,,,,,,,160
,,,,,,,,,,160
,,,,,,,,,,220
,,,,,,,,,,160
,,,,,,,,,,340
,,,,,,,,,,330
,,,,,,,,,,110
,,,,,,,,,,110
,,,,,,,,,,150
,,,,,,,,,,150
,,,,,,,,,,160
,,,,,,,,,,150
,,,,,,,,,,160
,,,,,,,,,,160
,,,,,,,,,,80
,,,,,,,,,,150
,,,,,,,,,,160
,,,,,,,,,,80
,,,,,,,,,,220
