dept,courseNumber,courseType,numberOfMeetings,meetingLengthHours,isTba,numberEnrolled,cantOverlap,shouldntOverlap,dataNumber
ENGR,ENGR 62,DIS,1,1.5,False,3,536,,537
ENGR,ENGR 80,LEC,3,1,False,34,,,538
ENGR,ENGR 102W,PRA,2,1.5,False,9,,,539
ENGR,ENGR 103,PRA,1,2.5,False,12,,,540
ENGR,ENGR 103,PRA,1,2.5,False,6,,,541
ENGR,ENGR 103,PRA,1,2.5,False,5,,,542
ENGR,ENGR 103,PRA,1,2.5,False,3,,,543
ENGR,ENGR 103,PRA,1,2.5,False,2,,,544
ENGR,ENGR 105,LEC,2,1.5,False,50,,,545
ENGR,ENGR 140A,SEM,2,2,False,12,,,546
ENGR,ENGR 145,LEC,2,1.5,False,52,,,547
ENGR,ENGR 154,LEC,2,2,False,1,,,548
ENGR,ENGR 155A,,2,2,False,0,,,549
ENGR,ENGR 155B,LEC,2,2,False,4,548,549,550
ENGR,ENGR 177B,SEM,2,1.5,False,3,,,551
ENGR,ENGR 193,SEM,1,1.5,False,4,,,552
MS&E,CHEM 134,,1,4,False,0,,,553
MS&E,CHEM 134,,1,4,False,0,,,554
MS&E,CHEM 134,,1,4,False,0,,,555
MS&E,CHEM 134,,1,4,False,0,553,554,556
MS&E,ENGR 140A,SEM,2,2,False,12,,,557
MS&E,MS&E 93Q,ISS,1,3,False,12,,,558
MS&E,MS&E 111,LEC,2,1.5,False,116,,,559
MS&E,MS&E 111,DIS,1,1.5,False,86,559,,560
MS&E,MS&E 121,LEC,2,2,False,63,,,561
MS&E,MS&E 140,LEC,2,2,False,37,,,562
MS&E,MS&E 152,LEC,2,1.5,False,128,,,563
MS&E,MS&E 178,LEC,2,1,False,44,,,564
MS&E,MS&E 182B,,3,2,False,0,,,565
MS&E,MS&E 184,LEC,2,2,False,67,,,566
MS&E,MS&E 190,LEC,2,1.5,False,25,,,567
MATSCI,MATSCI 81N,ISF,2,1.5,False,8,,,568
MATSCI,MATSCI 90Q,ISS,2,1.5,False,19,,,569
MATSCI,MATSCI 142,LEC,3,1,False,22,,,570
MATSCI,MATSCI 144,LEC,2,1.5,False,27,,,571
MATSCI,MATSCI 160,LAB,1,1.5,False,9,,,572
MATSCI,MATSCI 190,LEC,2,1.5,False,4,,,573
MATSCI,MATSCI 197,,2,1.5,False,0,,,574
MATSCI,MATSCI 197,,1,1.5,False,0,574,,575
MATSCI,MATSCI 198,LEC,2,1.5,False,2,,,576
MATSCI,MATSCI 199,,2,1.5,False,0,,,577
ME,ME 2,LAB,1,1,False,9,,,578
ME,ME 70,LEC,2,1.5,False,69,,,579
ME,ME 80,LEC,2,1.5,False,80,,583,580
ME,ME 101,LEC,2,2,False,26,,,581
ME,ME 102,LAB,2,1.5,False,60,581,583,582
ME,ME 103,LEC,2,3,False,12,,,583
ME,ME 104,LEC,3,2,False,90,,,584
ME,ME 104B,SEM,1,2,False,47,584,,585
ME,ME 104S,SEM,1,2,False,4,584,,586
ME,ME 110,PRC,1,2.5,False,22,,,587
ME,ME 110,PRC,1,2.5,False,11,,,588
ME,ME 115C,LEC,2,1.5,False,52,,,589
ME,ME 120,LEC,3,1,False,88,,,590
ME,ME 123,LEC,2,1.5,False,20,,,591
ME,ME 127,LEC,2,1.5,False,37,,,592
ME,ME 128,LEC,1,1.5,False,7,,,593
ME,ME 133,LEC,3,1,False,7,,,594
ME,ME 152,LEC,2,1.5,False,25,,,595
ME,ME 195A,SEM,1,1.5,False,9,,,596
ME,ME 216C,LEC,2,2,False,52,,,597
