dept,courseNumber,courseType,numberOfMeetings,meetingLengthHours,isTba,numberEnrolled,cantOverlap,shouldntOverlap,dataNumber
CS,CS 231N,,1,1,False,0,112,,113
CS,CS 233,LEC,2,1.5,False,41,,,114
CS,CS 235,LEC,2,1.5,False,26,,,115
CS,CS 240,LEC,2,1.5,False,42,,,116
CS,CS 240LX,LEC,2,3,False,10,,116,117
CS,CS 241,LEC,1,1.5,False,4,,,118
CS,CS 244,LEC,2,1.5,False,42,,,119
CS,CS 244B,LEC,2,1.5,False,65,,,120
CS,CS 247G,LEC,2,3,False,72,,119,121
CS,CS 254B,LEC,2,1.5,False,27,,,122
CS,CS 272,LEC,2,1.5,False,2,,,123
CS,CS 275B,SEM,2,1.5,False,1,,,124
CS,CS 294S,LEC,2,1.5,False,7,,,125
CS,CS 298,SEM,1,1.5,False,8,,,126
CS,CS 327A,LEC,2,1.5,False,30,,,127
CS,CS 335,LEC,2,1.5,False,14,,,128
CS,CS 348B,LEC,2,1.5,False,33,,,129
CS,CS 348E,LEC,2,1.5,False,19,,,130
CS,CS 348K,LEC,2,1.5,False,23,,,131
CS,CS 350,LEC,2,1.5,False,8,,,132
CS,CS 355,LEC,2,1.5,False,32,,,133
CS,CS 360,LEC,2,2,False,7,,,134
CS,CS 361,LEC,2,1.5,False,38,,,135
CS,CS 368,LEC,2,1.5,False,25,,,136
CS,CS 372,LEC,2,1.5,False,7,,,137
CS,CS 377N,LEC,2,2,False,5,,,138
CS,CS 377Q,LEC,2,1.5,False,16,,,139
CS,CS 377U,LEC,2,1.5,False,26,,138,140
CS,CS 379C,LEC,2,1.5,False,22,,,141
CS,CS 384,SEM,1,2,False,43,,,142
CS,CS 448P,LEC,2,1.5,False,22,,,143
CS,CS 472,LEC,1,2,False,58,,,144
CS,CS 520,SEM,1,2,False,27,,,145
MATSCI,MATSCI 207,LEC,2,1.5,False,36,,,146
MATSCI,MATSCI 207,LEC,1,1.5,False,1,146,,147
MATSCI,MATSCI 208,LEC,2,1.5,False,51,,,148
MATSCI,MATSCI 209,LEC,2,1.5,False,62,,,149
MATSCI,MATSCI 210,LEC,2,1.5,False,57,,,150
MATSCI,MATSCI 230,COL,1,1.5,False,41,,,151
MATSCI,MATSCI 316,LEC,2,1.5,False,50,,,152
MATSCI,MATSCI 341,LEC,2,2,False,28,,,153
MATSCI,MATSCI 343,LEC,2,1.5,False,12,,,154
MATSCI,MATSCI 380,LEC,2,1.5,False,22,,,155
EE,EE 207,LEC,2,1.5,False,11,,,156
EE,EE 236C,LEC,2,1.5,False,22,,,157
EE,EE 237,LEC,2,1.5,False,11,,,158
EE,EE 238,LEC,2,2,False,5,,157,159
EE,EE 254,LEC,2,1.5,False,16,,,160
EE,EE 267,LEC,2,1.5,False,38,,,161
EE,EE 284A,LEC,2,1.5,False,19,,,162
EE,EE 285,LEC,1,1.5,False,1,,162,163
EE,EE 292A,LEC,2,2,False,8,,,164
EE,EE 292C,LEC,1,1.5,False,9,,,165
EE,EE 292D,LEC,1,3,False,22,,,166
EE,EE 292E,SEM,1,1.5,False,8,,,167
EE,EE 292I,SEM,1,1.5,False,57,,,168
EE,EE 292T,SEM,1,1.5,False,4,,,169
EE,EE 303,LEC,2,1.5,False,45,,,170
EE,EE 310,SEM,1,1.5,False,10,,,171
EE,EE 311,LEC,2,1.5,False,20,,,172
EE,EE 317,LEC,2,1.5,False,11,,,173
EE,EE 323,LEC,2,2,False,24,,,174
EE,EE 340,LEC,2,1.5,False,14,,,175
EE,EE 348,LEC,2,1.5,False,8,,,176
EE,EE 364B,LEC,2,1.5,False,71,,,177
EE,EE 374,LEC,2,1.5,False,13,,,178
EE,EE 380,COL,1,1.5,False,21,,,179
EE,EE 382A,LEC,2,1.5,False,21,,,180
EE,EE 382C,LEC,2,1.5,False,22,,180,181
EE,EE 384S,LEC,2,1.5,False,7,,,182
MS&E,HRP 201C,SEM,1,2,False,11,,,183
MS&E,MED 215C,,1,2,False,0,,,184
MS&E,MS&E 201,LEC,2,1.5,False,7,,,185
MS&E,MS&E 211,LEC,2,1.5,False,70,,,186
MS&E,MS&E 221,LEC,2,1.5,False,158,,,187
MS&E,MS&E 223,LEC,3,1.5,False,39,,,188
MS&E,MS&E 230,LEC,2,1.5,False,26,,,189
MS&E,MS&E 240,LEC,2,2,False,31,,,190
MS&E,MS&E 243,LEC,2,1.5,False,8,,,191
MS&E,MS&E 245B,LEC,2,1.5,False,46,,,192
MS&E,MS&E 250B,WKS,1,2,False,6,,,193
MS&E,MS&E 254,LEC,1,3,False,41,,,194
MS&E,MS&E 256,LEC,1,2,False,20,,,195
MS&E,MS&E 256A,COL,1,2,False,19,,,196
MS&E,MS&E 272,LEC,2,2,False,7,,,197
MS&E,MS&E 274,LEC,2,1.5,False,50,,,198
MS&E,MS&E 276,LEC,1,3,False,56,,,199
MS&E,MS&E 277,WKS,1,3,False,51,,199,200
MS&E,MS&E 280,LEC,2,2,False,51,,,201
MS&E,MS&E 297,LEC,1,3,False,33,,,202
MS&E,MS&E 321,LEC,3,1.5,False,7,,,203
MS&E,MS&E 324,LEC,3,1.5,False,6,,,204
MS&E,MS&E 338,LEC,3,2,False,21,,,205
MS&E,MS&E 350,WKS,1,3,False,3,,,206
MS&E,MS&E 370,RES,1,3,False,6,,,207
MS&E,MS&E 394,LEC,2,1.5,False,5,,,208
MS&E,MS&E 433,SEM,1,2,False,14,,,209
MS&E,MS&E 441,,1,1.5,False,0,,,210
MS&E,MS&E 448,WKS,1,3,False,28,,,211
MS&E,MS&E 463,WKS,2,1.5,False,20,,,212
MS&E,MS&E 472,COL,1,1,False,301,,,213
MS&E,MS&E 494,SEM,1,1,False,6,,,214
ME,ME 110B,LEC,1,1.5,False,15,,,215
ME,ME 203,LEC,2,3,False,13,,,216
ME,ME 206B,LEC,2,2,False,24,,,217
ME,ME 206B,LEC,1,2,False,24,217,,218
ME,ME 216M,LEC,2,2,False,20,,,219
ME,ME 218C,LEC,2,3,False,24,,,220
ME,ME 220,LEC,2,2,False,45,,,221
ME,ME 225,LEC,1,3,False,27,,,222
ME,ME 227,LEC,2,1.5,False,60,,222,223
ME,ME 236,LEC,1,3,False,8,,,224
ME,ME 257,LEC,3,2,False,5,,,225
ME,ME 265,LEC,2,2,False,13,,,226
ME,ME 283,LEC,2,1.5,False,45,,,227
ME,ME 300C,LEC,2,1.5,False,37,,,228
ME,ME 301,WKS,2,2,False,17,,,229
ME,ME 304D,SEM,1,1.5,False,17,,,230
ME,ME 310C,LAB,2,1.5,False,23,,,231
ME,ME 316C,WKS,2,1.5,False,13,,,232
ME,ME 318,LAB,1,1.5,False,7,,,233
ME,ME 321,LEC,1,3,False,15,,,234
ME,ME 324,LEC,2,1.5,False,24,,,235
ME,ME 325,LEC,1,1.5,False,24,,,236
ME,ME 327,LEC,2,1.5,False,65,,,237
ME,ME 334,LEC,3,1,False,23,,,238
ME,ME 338,LEC,3,1.5,False,11,,,239
ME,ME 343,LEC,3,1.5,False,14,,,240
ME,ME 346A,LEC,3,2,False,27,,,241
ME,ME 352C,LEC,3,1,False,11,,,242
ME,ME 354,LEC,2,1.5,False,13,,,243
ME,ME 356,LEC,2,1.5,False,16,,,244
ME,ME 357,LEC,3,2,False,1,,,245
ME,ME 361,LEC,2,1.5,False,24,,,246
ME,ME 361,DIS,1,1.5,False,16,246,,247
ME,ME 368B,LEC,1,2,False,6,,,248
ME,ME 368B,LEC,1,2,False,6,248,,249
ME,ME 372,LEC,3,1,False,10,,,250
ME,ME 378,LEC,1,2,False,8,,,251
ME,ME 397,RES,1,1.5,False,3,,,252
ME,ME 410C,LEC,1,3,False,8,,,253
ME,ME 485,LEC,2,1.5,False,9,,,254
AA,AA 109Q,ISS,3,1.5,False,17,,,255
AA,AA 119N,ISF,2,1,False,12,,,256
AA,AA 146B,LAB,2,1.5,False,3,,,257
AA,AA 173,LEC,2,1,False,11,255,256,258
BIOE,BIOE 32Q,ISS,1,3,False,19,,,259
BIOE,BIOE 42,LEC,2,1.5,False,50,,,260
BIOE,BIOE 51,LBS,2,1.5,False,47,,,261
BIOE,BIOE 51,LBS,2,1.5,False,19,261,,262
BIOE,BIOE 70Q,ISS,2,1.5,False,17,,,263
BIOE,BIOE 72N,ISF,1,3,False,6,,,264
BIOE,BIOE 80,LEC,3,1,False,93,,,265
BIOE,BIOE 103,LEC,2,1.5,False,50,,,266
BIOE,BIOE 103,LEC,1,1,False,50,266,,267
BIOE,BIOE 131,LEC,2,1.5,False,210,,,268
BIOE,BIOE 193,,1,1.5,False,0,,,269
BIOE,BIOE 199A,SEM,1,1,False,12,,,270
BIOE,BIOE 201C,LEC,1,2,False,7,,,271
CHEMENG,CHEMENG 120B,LEC,3,1.5,False,14,,,272
CHEMENG,CHEMENG 130A,LEC,2,1.5,False,23,,,273
CHEMENG,CHEMENG 160,LEC,3,1,False,8,,,274
